ds,yhat,yhat_lower,yhat_upper,product
2020-01-01,89.49887345528546,77.92863969312855,100.68625482754405,Candies
2020-02-01,110.18668890021249,99.60068728625835,120.70812424720634,Candies
2020-03-01,108.01850087999799,96.97917353625085,119.76906653016114,Candies
2020-04-01,95.57628951315792,85.59079701374093,106.7253603745057,Candies
2020-05-01,99.17548023687405,88.52476363388232,110.34052727526836,Candies
2020-06-01,101.1383992608044,90.59000197070328,111.55222715532729,Candies
2020-07-01,101.2967616498409,90.09194798764764,112.38762776971355,Candies
2020-08-01,102.73416239940246,91.966082058471,113.1497512809463,Candies
2020-09-01,98.1010658100019,87.33019007946956,108.68097970341555,Candies
2020-10-01,102.03371113006398,91.79527599347817,112.59786154211518,Candies
2020-11-01,86.39374503322605,74.67869333110747,97.62475363221921,Candies
2020-12-01,98.18743948328135,86.49823956090079,108.88364045286207,Candies
2021-01-01,103.32347858492075,92.07131097784607,115.02636483980511,Candies
2021-02-01,103.31660659540364,92.30495203479792,114.15489197088606,Candies
2021-03-01,107.07710748989167,96.42024776073438,118.03617056068961,Candies
2021-04-01,96.12704237151976,85.04226440455298,106.90738687988103,Candies
2021-05-01,104.3010145186946,93.43036835699449,115.08802995503716,Candies
2021-06-01,100.78092918118487,90.72194591982434,111.17628625491265,Candies
2021-07-01,99.95709943169119,89.91130529272695,111.70211530435209,Candies
2021-08-01,99.52456344987438,89.31222706067895,109.76072161898556,Candies
2021-09-01,102.15898052078217,90.90203782751794,113.3123581939037,Candies
2021-10-01,101.16504527456883,90.9460833731138,112.41841745137953,Candies
2021-11-01,92.49742343802531,81.51022898860427,103.98978020348292,Candies
2021-12-01,96.82522690694482,86.26210040563087,106.65857340868995,Candies
2022-01-01,99.51359136605623,89.49209015648954,110.77933799706774,Candies
2022-02-01,106.39035528418246,94.62731231784088,117.90039056918131,Candies
2022-03-01,106.14067198745937,94.92112028106777,116.88554400553386,Candies
2022-04-01,96.75498133910816,85.52618994729795,107.64635614910804,Candies
2022-05-01,109.39258935067626,98.13476897489156,120.20806413270824,Candies
2022-06-01,100.31516659732137,89.29564602995615,110.87399172091179,Candies
2022-07-01,98.57791875033826,87.70553404333914,108.88846693635695,Candies
2022-08-01,96.39718999235502,86.36592926014039,106.95135734667473,Candies
2022-09-01,106.28657704237003,95.40843941209933,116.34854320889208,Candies
2022-10-01,100.33064496164099,90.09434348801398,111.06600590183373,Candies
2022-11-01,98.57203844879022,87.3843878645693,109.6021380240313,Candies
2022-12-01,95.33343300608269,85.1125244655634,106.20452158838663,Candies
2023-01-01,95.73503495772773,84.82641913672305,106.94234677397071,Candies
2023-02-01,109.5120706735128,99.01937699963364,121.25349550563584,Candies
2023-03-01,105.21019690247627,94.6885537328165,115.66527670294225,Candies
2023-04-01,97.45901755990859,86.53619627096153,109.07393009634661,Candies
2023-05-01,114.44505233253543,103.29924056329018,125.02102617176907,Candies
2023-06-01,99.74168198494529,88.86849127791326,110.29588290517053,Candies
2023-07-01,97.16304476243722,86.90103634811065,108.29385466111675,Candies
2023-08-01,93.35619837516514,82.46029040123594,104.08542034637772,Candies
2023-09-01,110.48117969794738,99.70924581141665,120.58910328991136,Candies
2023-10-01,99.52967324767661,89.60370830855157,110.56880491579456,Candies
2023-11-01,104.61201102528183,93.96889741517327,115.49149210760469,Candies
2023-12-01,93.71449333437143,82.61978208151012,105.17819709347143,Candies
2024-01-01,91.99297275987307,81.47891931880754,102.92130138721919,Candies
2024-02-01,112.6807752765593,102.32956256856752,123.16032286172897,Candies
2024-03-01,110.51257516223656,99.91389958570468,121.86053686380652,Candies
2024-04-01,98.07035086674702,86.95539404256525,108.69650139139416,Candies
2024-05-01,101.66952907785037,89.91791985017016,112.6625626921617,Candies
2024-05-31,99.06139711632625,88.69252957355201,110.62277939257189,Candies
2024-06-30,95.71648159289478,84.63764581289837,106.34293193885264,Candies
2024-07-31,90.4056748482896,79.11909271764125,101.84513820961136,Candies
2024-08-31,114.74001346065242,103.9493646293357,124.71869286844964,Candies
2024-09-30,98.76123708459471,87.53462413496439,108.85594417477905,Candies
2024-10-31,110.61180358004408,100.11365907937545,121.5545080334413,Candies
