ds,yhat,yhat_lower,yhat_upper,product
2020-01-01,9.990238967687308,3.6997282110278125,16.185752316278876,Candies
2020-02-01,9.91548946907371,3.5629562217543995,16.194472294976595,Candies
2020-03-01,10.033650967061405,3.7030389044587326,16.40743295997342,Candies
2020-04-01,10.90125215349605,4.9465485294048035,16.86558620694214,Candies
2020-05-01,11.825401660925042,6.181582455512322,17.958282693493242,Candies
2020-06-01,5.788050368348701,-0.30778456265048054,12.022397912911769,Candies
2020-07-01,6.261081990630812,0.21874867515567728,12.242297897988475,Candies
2020-08-01,14.793056302973447,8.056736160445436,22.00131190289967,Candies
2020-09-01,12.232402443596971,6.2107485926794235,18.330333764191835,Candies
2020-10-01,3.8358989424730012,-2.306857701298171,9.784778088096422,Candies
2020-11-01,3.9077073041413106,-2.147273247409184,9.909157100864482,Candies
2020-12-01,7.9749006679685515,1.7936517540848624,14.226354129939228,Candies
2021-01-01,7.771243089183443,1.5796375675823098,14.266413888855002,Candies
2021-02-01,10.33892554931207,3.997823469205385,16.771507340557932,Candies
2021-03-01,8.790321314820398,2.4528420161120157,15.213232741301573,Candies
2021-04-01,11.56852749051674,5.7405842936109925,18.025051029664755,Candies
2021-05-01,13.737580927588715,7.560167677640321,19.68817776189462,Candies
2021-06-01,9.45288743953656,3.4730704715643217,15.829191612889417,Candies
2021-07-01,6.653870630531991,0.4691882872714284,12.903875457246068,Candies
2021-08-01,12.279935972794789,6.109364801625613,18.714760381786633,Candies
2021-09-01,11.182667003400256,4.832301898893385,17.45641422357781,Candies
2021-10-01,7.915288879917525,1.592668309536755,14.285913020319144,Candies
2021-11-01,5.837676143688362,-0.6404339562949937,12.111728756229484,Candies
2021-12-01,7.170187309673162,0.5735523103021332,13.187148279495306,Candies
2022-01-01,9.591417538892369,3.385547903134822,15.449380197901718,Candies
2022-02-01,11.319572087922577,5.276516491107697,17.70047062707423,Candies
2022-03-01,7.559966464259331,1.6948320674005666,13.48188589890594,Candies
2022-04-01,12.294718486372297,6.502909758070119,18.148215190304178,Candies
2022-05-01,15.690911208005458,9.506117437429372,21.67384054894011,Candies
2022-06-01,13.083464305765414,6.688806136560881,19.501276458869505,Candies
2022-07-01,6.9513391335693715,0.6348347327529208,13.224663789068757,Candies
2022-08-01,9.746566949810891,3.788711255740093,16.235105427929753,Candies
2022-09-01,10.225850314015508,4.458330732729828,16.32033022552724,Candies
2022-10-01,12.044448965383364,5.600184490734618,17.962502613777463,Candies
2022-11-01,7.718708621468753,1.5494684927932298,13.70719604899795,Candies
2022-12-01,6.349653640879744,-0.15320743901333456,12.631511047818217,Candies
2023-01-01,11.413823624284348,5.388589940371033,17.426386719641467,Candies
2023-02-01,12.260868658660454,5.960742302416614,18.66354929665813,Candies
2023-03-01,6.345154279116933,0.035939412209277516,11.931707554793725,Candies
2023-04-01,13.080186132200025,6.695660323549247,19.40649298576508,Candies
2023-05-01,17.68317557509944,11.821441607616539,23.946188374913827,Candies
2023-06-01,16.67626592948058,10.636032098141532,23.32672416362251,Candies
2023-07-01,7.154505578367992,0.856669203745287,13.181590130663952,Candies
2023-08-01,7.197572334035062,1.4316798209373038,13.152991110092147,Candies
2023-09-01,9.364308706686202,2.8332352595232613,15.619201946727058,Candies
2023-10-01,16.219674608211164,10.048613744976603,22.87574030716441,Candies
2023-11-01,9.548934186988966,3.1126597003175713,15.186765151035436,Candies
2023-12-01,5.5145163655901985,-0.6192202528463691,12.012421372569609,Candies
2024-01-01,13.237721320415627,7.067175655504125,19.310956001861808,Candies
2024-02-01,13.162978025793546,6.776039950089013,18.679577785456388,Candies
2024-03-01,13.281145327558573,6.793729383491507,19.8078216811332,Candies
2024-04-01,14.14875272028759,7.806387603894958,20.721329130213135,Candies
2024-05-01,15.072908235678753,9.159988890910299,21.121846671598504,Candies
2024-05-31,20.22772418713692,14.033350327466076,26.661596354004534,Candies
2024-06-30,7.264412419968711,1.1142939976976578,13.114280728976661,Candies
2024-07-31,4.6374734889087526,-1.460106034572491,11.050749037213286,Candies
2024-08-31,8.600124007152427,2.5719918664563006,14.573911379570328,Candies
2024-09-30,20.437081091815237,14.502923705574839,26.218162993450054,Candies
2024-10-31,11.326486486646246,4.970878994219516,17.38777479403457,Candies
